,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
81,74,Belarus,994037,,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722"
138,131,DRC,99338,,"1,468",,"84,489",,"13,381",,"1,043",15,"846,704","8,890"
208,201,Niger,9931,,312,,"8,890",,729,1,381,12,"254,538","9,759"
82,75,Latvia,982505,,"6,715",,"971,406",,"4,384",,"531,418","3,632","7,885,792","4,265,272"
139,132,French Guiana,98041,,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951"
209,202,St. Vincent Grenadines,9674,,124,,"9,493",,57,,"86,723","1,112","114,197","1,023,720"
210,203,Guinea-Bissau,9614,,177,,"8,929",,508,6,"4,659",86,"145,231","70,385"
211,204,Comoros,9109,,161,,"8,939",,9,,"10,038",177,,
212,205,Antigua and Barbuda,9106,,146,,"8,954",,6,N/A,"91,509","1,467","18,901","189,943"
237,230,MS Zaandam,9,,2,,7,,0,,,,,
140,133,Malawi,89535,,"2,686",,N/A,N/A,N/A,N/A,"4,437",133,"624,784","30,959"
141,134,Senegal,89053,,"1,971",,"87,024",,58,,"5,044",112,"1,146,543","64,946"
142,135,Ivory Coast,88384,,835,,"87,497",,52,,"3,186",30,"1,690,934","60,951"
24,17,Netherlands,8635786,,"22,992",,"8,612,599",,195,N/A,"501,747","1,336","25,984,435","1,509,718"
83,76,Saudi Arabia,841469,,"9,646",,N/A,N/A,N/A,,"23,475",269,"45,481,735","1,268,848"
84,77,Paraguay,837602,,"20,155",,N/A,N/A,N/A,N/A,"114,648","2,759","2,657,506","363,751"
85,78,Azerbaijan,835234,,"10,400",,"824,089",,745,,"81,089","1,010","7,748,050","752,223"
143,136,Suriname,82588,,"1,408",,N/A,N/A,N/A,,"138,378","2,359","242,207","405,822"
213,206,Liberia,8090,,295,,"7,783",,12,2,"1,525",56,"139,824","26,356"
144,137,New Caledonia,80064,,314,,N/A,N/A,N/A,N/A,"275,214","1,079","98,964","340,182"
234,227,Tokelau,80,,,,,,80,,"58,055",,,
145,138,French Polynesia,79254,,650,,N/A,N/A,N/A,N/A,"278,902","2,287",,
214,207,Sierra Leone,7779,,126,,N/A,N/A,N/A,,937,15,"259,958","31,296"
25,18,Mexico,7702809,,"334,958",,"6,899,865",,"467,986",N/A,"58,549","2,546","20,013,810","152,124"
215,208,Chad,7701,,194,,"4,874",,"2,633",,442,11,"191,341","10,988"
26,19,Iran,7627186,,"146,811",,N/A,N/A,N/A,,"88,665","1,707","57,320,267","666,338"
146,139,Eswatini,75191,,"1,427",,"73,116",,648,,"63,462","1,204","1,048,704","885,119"
147,140,Guyana,74137,,"1,300",,"72,013",,824,,"93,366","1,637","733,218","923,396"
216,209,British Virgin Islands,7392,,64,,N/A,N/A,N/A,,"241,600","2,092","107,339","3,508,269"
86,79,Bahrain,729549,,"1,574",,"727,915",,60,N/A,"408,944",882,"10,948,549","6,137,138"
6,,,721,,15,,706,,0,0,,,,
217,210,Cook Islands,7203,,2,,"7,150",,51,,"409,937",114,"19,690","1,120,596"
148,141,Belize,71409,,688,,N/A,N/A,N/A,N/A,"173,243","1,669","576,016","1,397,453"
233,226,Diamond Princess,712,,13,,699,,0,,,,,
7,,World,704753890,0,"7,010,681",0,"675,619,811",+790,"22,123,398","34,794","90,413",899.4,,
3,,South America,70200879,,"1,367,332",,"66,683,585",,"2,149,962","8,953",,,,
149,142,Fiji,69117,,885,,"67,226",,"1,006",,"75,997",973,"672,883","739,866"
150,143,Madagascar,68486,,"1,426",,"66,862",,198,,"2,347",49,"531,329","18,210"
27,20,Indonesia,6829221,,"162,063",,"6,647,104",,"20,054",N/A,"24,466",581,"114,158,919","408,975"
87,80,Cyprus,681110,,"1,365",,"679,745",,0,,"556,741","1,116","9,640,118","7,879,860"
218,211,Sao Tome and Principe,6778,,80,,"6,685",,13,,"29,770",351,"29,600","130,008"
88,81,Dominican Republic,675890,,"4,384",,"671,316",,190,4,"61,131",397,"3,740,928","338,350"
219,212,Turks and Caicos,6752,,40,,"6,709",,3,4,"169,900","1,007","616,788","15,520,193"
89,82,Sri Lanka,672754,,"16,897",,"655,852",,5,,"31,181",783,"6,486,117","300,619"
90,83,Kuwait,667158,,"2,570",,N/A,N/A,N/A,,"152,308",587,"8,455,743","1,930,391"
28,21,Poland,6661991,,"120,598",,N/A,N/A,N/A,N/A,"176,524","3,196","39,323,709","1,041,970"
220,213,Saint Kitts and Nevis,6607,,48,,"6,559",,0,,"122,645",891,"126,958","2,356,704"
151,144,Cabo Verde,64477,,417,,"63,755",,305,23,"113,580",735,"401,622","707,482"
91,84,Myanmar,641873,,"19,495",,"620,159",,"2,219",,"11,622",353,"11,711,514","212,061"
29,22,Colombia,6400173,,"143,200",,"6,212,152",,"44,821",342,"124,244","2,780","36,951,507","717,327"
152,145,Sudan,63993,,"5,046",,"58,947",,0,,"1,391",110,"562,941","12,240"
153,146,Mauritania,63848,,997,,"62,471",,380,,"13,025",203,"1,009,957","206,030"
92,85,Moldova,635145,,"12,218",,N/A,N/A,N/A,N/A,"158,265","3,044","3,216,305","801,437"
221,214,Palau,6290,,10,,"6,276",,4,,"344,979",548,"71,434","3,917,841"
93,86,Estonia,628070,,"3,001",,N/A,N/A,N/A,N/A,"475,123","2,270","6,968,103","5,271,239"
154,147,Bhutan,62697,,21,,"61,564",,"1,112",,"79,571",27,"2,303,734","2,923,739"
94,87,Palestine,621008,,"5,404",,"615,445",,159,,"116,173","1,011","3,078,533","575,907"
30,23,Greece,6101379,,"37,869",,N/A,N/A,N/A,,"591,412","3,671","102,228,365","9,909,078"
31,24,Austria,6081287,,"22,542",,"6,054,934",,"3,811",,"670,727","2,486","211,273,524","23,302,116"
